Round,CS_3_50.txt,BS_3_50.txt
1,1.8379321541637181,2.1708652414381504
2,1.3981055976822971,1.847133331000805
3,1.2754342945292592,1.7647447925060988
4,1.18599923979491,1.735779694840312
5,1.1090118685737251,1.690839647129178
6,1.0568058598786592,1.647727158293128
7,1.0065601477399468,1.6229197360575198
8,0.9832903490401804,1.5896245814859866
9,0.9569688072428107,1.5690375600010156
10,0.9362041249871254,1.4993009932339192
11,0.9141067558899522,1.4988665521144866
12,0.9002254088409245,1.4658154137432575
13,0.8801151877269149,1.4800860404968261
14,0.8683995715342462,1.4462779827415944
15,0.8584262384101748,1.4188919093459844
16,0.8544750372879207,1.4080601369962096
17,0.8440559356939048,1.3984892152249813
18,0.8425270024687052,1.39473428837955
19,0.83745710067451,1.4164530880749227
20,0.828389688860625,1.3454977717250585
21,0.8244422522373498,1.3794687243178487
22,0.8268971048295498,1.3296660289168358
23,0.8129547425545752,1.3164374444633722
24,0.826276813307777,1.299095832556486
25,0.8294045267626643,1.280989134684205
26,0.8205532839521765,1.3415716152638197
27,0.8207142009399832,1.283362821303308
28,0.829535014461726,1.294977705553174
29,0.8351037673186511,1.2223686449229718
30,0.8581599660217762,1.2552559655159712
31,0.8505722854286433,1.2802971482276917
32,0.8543214748613537,1.228328044526279
33,0.8691083452664315,1.2278855292126536
34,0.875498040765524,1.225659973733127
35,0.8801891307812184,1.2123560905456543
36,0.8921986683271825,1.2030559536069632
37,0.8871397928218357,1.198900031298399
38,0.914503194950521,1.1634227987378836
39,0.925895613944158,1.169241689890623
40,0.9274646451231092,1.166255576722324
41,0.9355757895857095,1.1766222657635808
42,0.9516068711876869,1.1594613235443831
43,0.9550420244690031,1.1696539435535669
44,0.9698956576175988,1.1525105493143202
45,0.9715639854315669,1.169682807661593
46,0.9973916255868971,1.1756835322827102
47,0.985829187836498,1.1770376136526466
48,1.0202626469545066,1.16714337002486
49,1.0129830454010516,1.1382532760500907
50,1.019024746492505,1.1892848152667284
