Round,robust_sym20asym0_100.txt,ce_sym20asym0_100.txt,ce_sym60asym0_100.txt,robust_sym60asym0_95.txt
1,7.1996997252106665,2.0714451413601638,2.296547555178404,8.236823081970215
2,6.534312024712563,1.6126825276762247,2.1897887900471686,7.668300841748715
3,6.178620578348637,1.4802327074110508,2.092786576971412,7.150299099087715
4,5.850124891847372,1.3969469834119081,2.0147548653185368,6.914423353224993
5,5.666354694962502,1.3329692570492626,1.9874557558447123,6.989323236048222
6,5.438553691655398,1.2860777247697115,1.95035159252584,6.960478523373604
7,5.254535479843616,1.2454631567001342,1.9219356216490269,6.5137428510934114
8,5.076155029982329,1.2016271702945232,1.8875011906027794,6.348840436339378
9,5.01148099899292,1.1632797554135323,1.8667989876121283,6.244592991471291
10,4.963638766855001,1.1361668527126312,1.86079343855381,6.0753882512450215
11,4.833781488239765,1.111964835971594,1.8376762084662914,6.0249541364610195
12,4.759625258296728,1.0848350994288922,1.8284118559211493,5.933770525455475
13,4.676393615454435,1.0923686444759368,1.8269261185079813,5.860790291428566
14,4.598735930398107,1.0595684554427862,1.810095203667879,5.806496388465166
15,4.514693967625499,1.069427717104554,1.7807420194149017,5.737590244412422
16,4.473604343086481,1.0410507200285792,1.789050327986479,5.64970776066184
17,4.404498023539782,1.0429086949676276,1.7731104213744402,5.595980305224657
18,4.3732100769877436,1.026698183082044,1.7588075447827578,5.577047768235206
19,4.316834911704063,1.0292864348739386,1.7579620808362961,5.509565508365631
20,4.2380145631730555,1.0086012059822678,1.7567073203623296,5.502770718932152
21,4.222004931420088,1.0117164997383952,1.7556578304618597,5.415247245877981
22,4.180162826180458,1.0098567755892873,1.7294613551348448,5.48367390204221
23,4.119617481157183,1.0103670092299581,1.730759162083268,5.353965444862842
24,4.071572566777467,1.0165264764800668,1.7316674929112197,5.35033116787672
25,4.069845723733306,0.9985684248618781,1.7188300121575595,5.295188142731786
26,4.035885602235794,0.9916348967701196,1.721291084587574,5.288915088027716
27,3.97508175666444,1.0003650164231659,1.7260507203638553,5.225493713282049
28,3.987728574872017,0.9910327240824699,1.7062013573944568,5.24029955342412
29,3.911650771647692,1.001271646656096,1.707840460911393,5.206678083539009
30,3.8889290895313025,1.0039478687569499,1.7016980193555356,5.211120617389679
31,3.857884894683957,0.9952647731639445,1.7126788102090358,5.092752051353455
32,3.8647501446306705,1.0000745294615627,1.7113817557692528,5.099712734669447
33,3.8246226690709593,1.0137028513476252,1.7104999855160714,5.0968066655099395
34,3.777373384917155,1.0082615487277509,1.7018679786473512,4.997116194665432
35,3.7502422664314508,1.0367701960727573,1.698645667359233,5.084500998258591
36,3.7301543563604356,1.0395550347864628,1.6913616739213466,4.965533554553986
37,3.7202887658029793,1.0412506368011236,1.7155001487582922,4.935797183215618
38,3.6735212123021483,1.0477379629388452,1.6923251811414957,4.921496371179819
39,3.677023948356509,1.0675212003290653,1.7093244098126887,4.903309240192175
40,3.6229696314781905,1.0697987450286746,1.7149436742067337,4.904542874544859
41,3.6074642911553383,1.0902775184251368,1.707499009743333,4.903183078020811
42,3.587552383542061,1.1001058403402566,1.7154139690101147,4.8110113076865675
43,3.5378042265772818,1.1113083188422024,1.719900995120406,4.797208572179079
44,3.5302255360758865,1.1401777094230057,1.7074290808290242,4.773542565852404
